LIFESTAGE,PREMIUM_CUSTOMER,0
MIDAGE SINGLES/COUPLES,Budget,4691
MIDAGE SINGLES/COUPLES,Mainstream,11095
MIDAGE SINGLES/COUPLES,Premium,7612
NEW FAMILIES,Budget,2824
NEW FAMILIES,Mainstream,2185
NEW FAMILIES,Premium,1488
OLDER FAMILIES,Budget,21514
OLDER FAMILIES,Mainstream,13241
OLDER FAMILIES,Premium,10403
OLDER SINGLES/COUPLES,Budget,17172
OLDER SINGLES/COUPLES,Mainstream,17061
OLDER SINGLES/COUPLES,Premium,16560
RETIREES,Budget,14225
RETIREES,Mainstream,19970
RETIREES,Premium,12236
YOUNG FAMILIES,Budget,17763
YOUNG FAMILIES,Mainstream,11947
YOUNG FAMILIES,Premium,10784
YOUNG SINGLES/COUPLES,Budget,8573
YOUNG SINGLES/COUPLES,Mainstream,19544
YOUNG SINGLES/COUPLES,Premium,5852
